	Gene Name	Start	End	Length
0	gag-pol	335	4642	4307
1	gag	335	1838	1503
2	vif	4586	5165	579
3	vpr	5104	5396	292
4	tat	5376	7970	2594
5	rev	5515	8199	2684
6	vpu	5607	5856	249
7	env	5770	8341	2571
8	asp	6918	7488	570
9	nef	8342	8963	621
