Gene Name	Start	End
VP4	733	939
VP3	1702	2427
VP2	940	1701
VP1	2428	3318
2A	3319	3768
2B	3769	4065
2C	4066	5052
3A	5053	5310
3B	5311	5376
3C	5377	5925
3D	5926	7311
