Gene Name	Start	End	Length
RL1	1385	2318	933
RNA2.7	2507	4982	2475
RL5A	5401	5737	336
RL6	5992	6328	336
RNA1.2	6705	7728	1023
RL8A	7858	8131	273
RL9A	8196	8340	144
RL10	8548	9064	516
RL11	9092	9797	705
RL12	9800	11048	1248
RL13	11159	12068	909
UL1	12174	12849	675
UL2	13229	13412	183
UL4	13835	14288	453
UL5	14378	14879	501
UL6	14989	15832	843
UL8	15891	16965	1074
UL7	15891	16557	666
UL10	17789	18566	777
UL11	18658	19486	828
UL13	19683	21105	1422
UL14	21254	22238	984
UL15A	22250	22559	309
UL16	22779	23472	693
UL17	23579	23894	315
UL18	24002	25109	1107
UL19	25105	25402	297
UL20	25665	26688	1023
UL21A	26832	27204	372
UL22A	27472	27867	395
UL23	28227	29082	855
UL24	29298	30375	1077
UL25	30422	32393	1971
UL26	32573	33140	567
UL27	33195	35022	1827
UL29	35118	37370	2252
UL30	37499	37865	366
UL30A	37910	38150	240
UL31	38340	40122	1782
UL32	40202	43352	3150
UL33	43422	44780	1358
UL34	45147	46371	1224
UL35	46449	48375	1926
UL36	48601	50139	1538
UL37	50272	53081	2809
UL38	51502	52498	996
UL40	53587	54253	666
UL41A	54414	54651	237
UL42	54756	55125	369
UL43	55188	56460	1272
UL44	56506	57808	1302
UL45	57948	60669	2721
UL46	60814	61687	873
UL47	61685	64637	2952
UL48	64633	71356	6723
UL48A	71475	71703	228
UL49	71695	73408	1713
UL50	73364	74561	1197
UL51	74582	75056	474
UL52	75093	77100	2007
UL53	77092	78223	1131
UL54	78200	81929	3729
UL55	82068	84786	2718
UL56	84748	87301	2553
UL57	87867	91575	3708
RNA4.9	94306	99097	4791
UL69	99394	101620	2226
UL70	101719	104560	2841
UL71	104575	105661	1086
UL72	105741	106905	1164
UL73	106920	107337	417
UL74	107308	108709	1401
UL74A	108020	108913	893
UL75	109081	111313	2232
UL76	111507	112485	978
UL77	112087	113998	1911
UL78	114086	115382	1296
UL79	115436	116324	888
UL80	116360	118487	2127
UL80.5	117365	118487	1122
UL82	118648	120328	1680
UL83	120516	122202	1686
UL84	122474	124238	1764
UL85	124269	125190	921
UL86	125351	129464	4113
UL87	129523	132349	2826
UL88	132345	133635	1290
UL89	133631	139559	5928
UL91	135003	135339	336
UL92	135308	135914	606
UL93	135879	137664	1785
UL94	137521	138559	1038
UL95	139557	141153	1596
UL96	141149	141533	384
UL97	141653	143777	2124
UL98	143870	145625	1755
UL99	145561	146134	573
UL100	146391	147513	1122
UL102	147690	150315	2625
UL103	150477	151227	750
UL104	151174	153268	2094
UL105	153095	155966	2871
RNA5.0	155964	161633	5669
UL111A	160846	161536	690
UL112	161760	163969	2209
UL114	164141	164894	753
UL115	164865	165702	837
UL116	165701	166643	942
UL117	166639	167917	1278
UL119	168029	169144	1115
UL120	169198	169804	606
UL121	169854	170397	543
UL122	170524	173923	3399
UL123	172166	173923	1757
UL124	173955	174408	453
UL128	176017	176777	760
UL130	176816	177461	645
UL131A	177481	177979	498
UL132	178085	178898	813
UL148	178974	179925	951
UL147A	179993	180221	228
UL147	180223	180703	480
UL146	180776	181121	345
UL145	181401	181794	393
UL144	182034	182562	528
UL142	183202	184123	921
UL141	184195	185212	1017
UL140	185510	186086	576
UL139	186267	186675	408
UL138	187237	187747	510
UL136	187829	188552	723
UL135	188642	189569	927
UL133	189745	190519	774
UL148A	190614	190857	243
UL148B	190986	191229	243
UL148C	191315	191549	234
UL148D	191930	192119	189
UL150	192134	194054	1920
UL150A	192993	193920	927
IRS1	195902	198518	2616
US1	198541	199012	471
US2	199329	199929	600
US3	200343	200904	561
US6	201615	202167	552
US7	202589	203267	678
US8	203467	204151	684
US9	204165	204909	744
US10	205291	205849	558
US11	205924	206572	648
US12	206757	207603	846
US13	207682	208468	786
US14	208536	209469	933
US15	209513	210302	789
US16	210361	211291	930
US17	211435	212317	882
US18	212584	213409	825
US19	213546	214269	723
US20	214315	215080	765
US21	215186	215918	732
US22	216094	217825	1731
US23	217938	219717	1779
US24	219812	221315	1503
US26	221952	223764	1812
US27	224129	225224	1095
US28	225431	226490	1059
US29	226652	228041	1389
US30	227844	228894	1050
US31	229008	229494	486
US32	229611	230163	552
US33A	230362	230536	174
US34	230704	231196	492
US34A	231189	231384	195
TRS1	232748	235190	2442
