Gene Name	Start	End	Length
RL1	1372	2305	933
RNA2.7	2494	5006	2512
RL5A	5394	5682	288
RL6	6030	6366	336
RNA1.2	6764	7817	1053
RL8A	7917	8190	273
RL9A	8255	8399	144
RL10	8606	9119	513
RL11	9147	9852	705
RL12	9855	11100	1245
UL1	12179	12836	657
UL2	13216	13396	180
UL4	13826	14276	450
UL5	14363	14864	501
UL6	14970	15813	843
UL8	15870	16947	1077
UL7	15870	16539	669
UL9	16952	17654	702
UL10	17781	18546	765
UL11	18647	19466	819
UL13	19663	21085	1422
UL14	21234	22218	984
UL15A	22230	22539	309
UL16	22759	23452	693
UL17	23559	23874	315
UL18	23982	25089	1107
UL19	25085	25382	297
UL20	25645	26662	1017
UL21A	26808	27180	372
UL22A	27448	27849	401
UL23	28213	29068	855
UL24	29283	30360	1077
UL25	30407	32378	1971
UL26	32565	33132	567
UL27	33187	35014	1827
UL29	35110	37359	2249
UL30	37488	37854	366
UL30A	37899	38133	234
UL31	38332	40120	1788
UL32	40200	43350	3150
UL33	43180	44779	1599
UL34	45146	46370	1224
UL35	46448	48374	1926
UL36	48600	50134	1534
UL37	50267	53066	2799
UL38	51487	52483	996
UL40	53579	54245	666
UL41A	54406	54643	237
UL42	54747	55125	378
UL43	55188	56460	1272
UL44	56506	57808	1302
UL45	57948	60669	2721
UL46	60811	61684	873
UL47	61682	64634	2952
UL48	64630	71356	6726
UL48A	71474	71702	228
UL49	71694	73407	1713
UL50	73363	74560	1197
UL51	74581	75055	474
UL52	75092	77099	2007
UL53	77091	78222	1131
UL54	78199	81928	3729
UL55	82071	84795	2724
UL56	84757	87310	2553
UL57	87876	91584	3708
RNA4.9	94300	99206	4906
UL69	99523	101752	2229
UL70	101851	104692	2841
UL71	104650	105793	1143
UL72	105873	107040	1167
UL73	107055	107463	408
UL74	107434	108853	1419
UL74A	108146	109057	911
UL75	109228	111457	2229
UL76	111651	112629	978
UL77	112231	114142	1911
UL78	114230	115526	1296
UL79	115580	116468	888
UL80	116504	118631	2127
UL80.5	117509	118631	1122
UL82	118792	120472	1680
UL83	120660	122346	1686
UL84	122617	124381	1764
UL85	124412	125333	921
UL86	125494	129607	4113
UL87	129666	132492	2826
UL88	132488	133778	1290
UL89	133774	139702	5928
UL92	135451	136057	606
UL93	136022	137807	1785
UL94	137664	138702	1038
UL95	139700	141302	1602
UL96	141298	141682	384
UL97	141802	143926	2124
UL98	144019	145774	1755
UL99	145710	146283	573
UL100	146542	147658	1116
UL102	147835	150457	2622
UL103	150619	151369	750
UL104	151316	153410	2094
UL105	153162	156108	2946
RNA5.0	156089	161777	5688
UL111A	161007	161697	690
UL112	161921	164133	2212
UL114	164302	165055	753
UL115	165026	165863	837
UL116	165862	166804	942
UL117	166800	168078	1278
UL119	168190	169316	1126
UL120	169370	169976	606
UL121	170026	170569	543
UL122	170693	174095	3402
UL123	172333	174095	1762
UL124	174127	174580	453
UL130	176988	177633	645
UL131A	177653	178151	498
UL132	178256	179069	813
UL148	179145	180096	951
UL147A	180164	180392	228
UL147	180394	180874	480
UL146	180934	181297	363
UL145	181577	181970	393
UL144	182210	182741	531
UL142	183410	184328	918
UL141	184400	185417	1017
UL140	185709	186285	576
UL139	186466	186883	417
UL138	187445	187955	510
UL136	188037	188760	723
UL135	188850	189837	987
UL133	189953	190727	774
UL148A	190822	191065	243
UL148B	191194	191437	243
UL148C	191526	191760	234
UL148D	192141	192330	189
UL150	192345	194265	1920
UL150A	193204	194131	927
US1	198569	199040	471
US2	199357	199957	600
US3	200371	200932	561
US6	201641	202190	549
US7	202615	203293	678
US8	203495	204179	684
US9	204193	204937	744
US10	205322	205880	558
US11	205955	206603	648
US12	206788	207634	846
US13	207713	208499	786
US14	208567	209500	933
US15	209544	210333	789
US16	210392	211322	930
US17	211466	212348	882
US18	212615	213440	825
US19	213577	214300	723
US20	214346	215111	765
US21	215217	215949	732
US22	216125	217856	1731
US23	217969	219748	1779
US24	219843	221349	1506
US26	221982	223794	1812
US27	224159	225254	1095
US28	225461	226526	1065
US29	226688	228077	1389
US30	227880	228930	1050
US31	229044	229530	486
US32	229647	230199	552
US33A	230400	230574	174
US34	230742	231234	492
US34A	231227	231422	195
TRS1	232425	234792	2367
