Gene Name	Start	End	StartTruncated	EndTruncated	Length
5'UTR	1	563	1	0	562
CDS	564	7037	0	0	6473
1A	564	770	0	0	206
1B	771	1550	0	0	779
1C	1551	2273	0	0	722
1D	2274	3134	0	0	860
2A	3135	3560	0	0	425
2B	3561	3845	0	0	284
2C	3846	4811	0	0	965
3A	4812	5042	0	0	230
3C	5106	5654	0	0	548
3D	5655	7034	0	0	1379
