Gene Name	Start	End	Length
RL1	1223	2156	933
RNA2.7	2344	4858	2514
RL5A	5246	5534	288
RL6	5882	6218	336
RNA1.2	6616	7672	1056
RL8A	7772	8045	273
RL9A	8110	8254	144
RL10	8462	8969	507
RL11	8997	9702	705
RL12	9705	10905	1200
UL1	10989	11598	609
UL2	11988	12171	183
UL4	12600	13047	447
UL5	13137	13638	501
UL6	13748	14591	843
UL8	14650	15727	1077
UL7	14650	15319	669
UL9	15723	15734	11
UL11	15726	16434	708
UL13	16631	18053	1422
UL14	18202	19186	984
UL15A	19198	19507	309
UL16	19727	20420	693
UL17	20527	20842	315
UL18	20950	22057	1107
UL19	22053	22350	297
UL20	22612	23635	1023
UL21A	23779	24151	372
UL22A	24419	24814	395
UL23	25174	25261	87
UL25	25261	26894	1633
UL26	27074	27641	567
UL27	27696	29523	1827
UL29	29619	31871	2252
UL30	32098	32368	270
UL30A	32413	32653	240
UL31	32846	34634	1788
UL32	34714	37864	3150
UL33	37934	39294	1360
UL34	39661	40885	1224
UL35	40963	42889	1926
UL36	43115	44646	1531
UL37	44779	47587	2808
UL38	46005	47004	999
UL40	48095	48761	666
UL41A	48922	49159	237
UL42	49263	49641	378
UL43	49704	50976	1272
UL44	51022	52324	1302
UL45	52464	55185	2721
UL46	55330	56203	873
UL47	56201	59153	2952
UL48	59149	65872	6723
UL48A	65988	66216	228
UL49	66208	67921	1713
UL50	67877	69083	1206
UL51	69104	69578	474
UL52	69615	71622	2007
UL53	71614	72745	1131
UL54	72722	76451	3729
UL55	76591	79309	2718
UL56	79271	81824	2553
UL57	82390	86095	3705
RNA4.9	88809	93739	4930
UL69	94039	96268	2229
UL70	96367	99208	2841
UL71	99223	100309	1086
UL72	100389	101556	1167
UL73	101571	101979	408
UL74	101950	103345	1395
UL74A	102662	103549	887
UL75	103720	105952	2232
UL76	106146	107124	978
UL77	106726	108637	1911
UL78	108725	110021	1296
UL79	110075	110963	888
UL80	110999	113129	2130
UL80.5	112004	113129	1125
UL82	113295	114975	1680
UL83	115163	116849	1686
UL84	117120	118881	1761
UL85	118912	119833	921
UL86	119994	124107	4113
UL87	124166	126992	2826
UL88	126988	128278	1290
UL89	128274	134159	5885
UL91	129603	129939	336
UL92	129908	130514	606
UL93	130479	132264	1785
UL94	132121	133159	1038
UL95	134157	135786	1629
UL96	135782	136166	384
UL97	136285	138409	2124
UL98	138502	140257	1755
UL99	140193	140766	573
UL100	141025	142144	1119
UL102	142321	144943	2622
UL103	145111	145861	750
UL104	145808	147902	2094
UL105	147729	150600	2871
RNA5.0	150598	156323	5725
UL111A	155500	156194	694
UL112	156418	158630	2212
UL114	158802	159555	753
UL115	159526	160363	837
UL116	160362	161307	945
UL117	161303	162578	1275
UL119	162690	163811	1121
UL120	163865	164471	606
UL121	164528	165065	537
UL122	165194	168601	3407
UL123	166839	168601	1762
UL124	168633	169092	459
UL128	170699	171460	761
UL130	171499	172144	645
UL131A	172164	172662	498
UL132	172768	173581	813
UL148	173657	174608	951
UL147A	174676	174904	228
UL147	175000	175384	384
UL146	175452	175812	360
UL145	176092	176485	393
UL144	176726	177254	528
UL140	177262	177602	340
UL139	177783	178191	408
UL138	178753	179263	510
UL136	179345	180068	723
UL135	180158	181088	930
UL133	181264	182044	780
UL148A	182139	182382	243
UL148B	182511	182754	243
UL148C	182840	183074	234
UL148D	183455	183644	189
UL150	183659	185582	1923
UL150A	184518	185448	930
IRS1	186917	189034	2117
US1	189057	189528	471
US2	189845	190445	600
US3	190859	191420	561
US6	192129	192681	552
US7	193106	193784	678
US8	193985	194666	681
US9	194680	195424	744
US10	195809	196367	558
US11	196442	197090	648
US12	197276	198122	846
US13	198201	198987	786
US14	199055	199988	933
US15	200032	200821	789
US16	200880	201810	930
US17	201957	202839	882
US18	203106	203931	825
US19	204068	204791	723
US20	204909	205602	693
US21	205708	206440	732
US22	206616	208347	1731
US23	208460	210239	1779
US24	210334	211840	1506
US26	212473	214285	1812
US27	214650	215745	1095
US28	215952	216930	978
US29	217184	218573	1389
US30	218376	219426	1050
US31	219540	220026	486
US32	220143	220695	552
US33A	220896	221070	174
US34	221238	221732	494
US34A	221725	221920	195
TRS1	222892	225256	2364
